,d,beta_0,beta_1,beta_2,G,pce,path,P1,P2
55,2.361322368367316e-05,0.17006300762758073,0.17006300762758073,1.230670311539735,0.02083223749588851,3747.099627926063,True,61,62
56,4.0225708660271634e-05,0.38991766989647186,0.38991766989647186,0.7909609870019528,0.042694135626584605,2527.124475781223,True,62,63
57,5.448709890463248e-06,0.16380354355117555,0.7034963916218605,0.7034963916218605,0.02973401576965789,17329.684511803283,False,63,64
58,5.448709890463248e-06,0.1810110560140772,0.6948926353904097,0.6948926353904097,0.031793259114964216,17557.57256181069,False,64,65
59,5.909200586665933e-06,0.18719372676612908,0.18719372676612908,1.1964088732626383,0.022826985817858237,15215.112870071174,False,65,66
60,8.906401370651603e-06,0.0019713058626854756,0.0019713058626854756,1.5668537150695256,0.0002464125944502652,6880.626778987957,False,66,67
61,1.1120243742497528e-05,0.08799037508770025,0.7414029758535982,0.7414029758535982,0.018491482876083973,7797.945681320963,False,67,68
62,1.2747865017350436e-05,0.06484394264639182,0.7529761920742524,0.7529761920742524,0.014257929819681195,6527.303119628091,False,68,69
63,5.067799939937086e-06,0.2189718914820702,0.2189718914820702,1.1328525438307562,0.026439880607831725,18221.912322851236,False,70,71
64,5.067799939937086e-06,0.11619280275846422,0.7273017620182162,0.7273017620182162,0.02311682609515557,17781.16278429469,False,71,72
65,7.649159608862845e-06,0.31260891456487494,0.6290937061150108,0.6290937061150108,0.04279152668239874,13296.256360423627,False,72,73
66,6.265878768994281e-06,0.030150936589821375,0.7703226951025376,0.7703226951025376,0.007098714453352536,12093.217614953635,False,73,74
67,6.265878768994281e-06,0.02696427227174553,0.02696427227174553,1.5168677822514054,0.003368898741646445,11211.088657381531,False,74,75
68,5.363583517592377e-06,0.11578328159313345,0.7275065226008816,0.7275065226008816,0.023053618656151367,16792.389657145086,False,75,76
69,5.363583517592377e-06,0.04809729264895858,0.04809729264895858,1.4746017414969794,0.0060028614915905824,13863.207075853481,False,76,77
70,6.363801601528199e-06,0.2079186036220757,0.6814388615864104,0.6814388615864104,0.03469318915809269,15297.212406777138,False,77,78
71,9.639226090787145e-06,0.04540016298050764,0.7626980819071945,0.7626980819071945,0.010371661052877864,8246.954753860377,False,78,79
72,8.532393332235994e-06,0.05181849318122467,0.759488916806836,0.759488916806836,0.011689195471414027,9472.304461217173,False,80,81
73,5.289580745785402e-06,0.16159299083456613,0.7046016679801652,0.7046016679801652,0.029457312430813183,17818.867410710645,False,81,82
74,5.289580745785402e-06,0.33173613583264605,0.33173613583264605,0.9073240551296045,0.03794908257917477,18745.427818728855,False,82,83
75,6.016340751141149e-06,0.18999034834401352,0.6904029892254415,0.6904029892254415,0.03280319349633429,15999.82309659425,False,83,84
76,5.757298632131813e-06,0.211404353151377,0.211404353151377,1.1479876204921426,0.02559081303668073,15942.949925134217,False,84,85
77,5.757298632131813e-06,0.10359547985205753,0.7336004234714195,0.7336004234714195,0.021120055990749998,15405.011051408643,False,85,86
78,7.402608028478121e-06,0.4854798634350251,0.4854798634350251,0.5998365999248464,0.04759195830315341,14061.791565045929,False,86,87
79,7.402608028478121e-06,0.16567464265798337,0.7025608420684566,0.7025608420684566,0.029966028244114127,12774.744875225531,False,87,88
80,5.430260770875712e-06,0.33997348415736184,0.6154114213187674,0.6154114213187674,0.0442005726725323,18860.908338042867,False,88,89
81,1.0694061399806622e-05,0.05762147318170851,0.05762147318170851,1.4555533804314795,0.0071866720877411016,7097.195145125017,False,90,91
